Text,Language
"Moses spend forty years leading di people dem through di wilderness, and even though him never reach di Promised Land himself, him set di foundation fi di Hebrew people dem fi years to come.",Jamaican Creole
Bilong me hangamapim bot stap pulap maleo,Tok Pisin
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
E meneer lo paga pa tur cos,Papiamento
"Di way shi talk wid di children, an nuh tap wear di traditional Jamaican bandana dress, and di uppity weh shi chat patwa wid pride, even when di stush people dem try tu put har dung inspire di yute dem tu walk wid pride in demself.",Jamaican Creole
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
"Modi bu sta?, Kuma ku bu sta?",Cape Verdean Creole
papelnan ofisial mi a ripará ku el a nase na 1913.,Papiamento
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
kuida mata i kushiná kuminda krioyo.,Papiamento
Rete,Haitian Creole
"N´ka kré más, obrigado(a)",Cape Verdean Creole
Ti manham,Cape Verdean Creole
"Strongim mipela long bihainim laik bilong yu long graun, olsem ol i bihainim long heven.",Tok Pisin
Consensa,Cape Verdean Creole
Onè Respè!,Haitian Creole
 Di way how she tek pride inna wi culcha and chat di patwa mek di whole a wi feel good. Pon toppa dat she inspire a whole heap a Jamaican artists to buss out with boasiness.,Jamaican Creole
Ki non w?,Haitian Creole
Se bato mwen ki flote sou dlo a ki te ranpli avèk èèl,Haitian Creole
"When shi come back a yaad shi set up har theatre, den shi guh back a foreign to England and den America where shi nuh tap educate di people dem in a di patwa through folklore and music. ",Jamaican Creole
Yuh done know.,Jamaican Creole
tabata katibu òf por lo ménos a biba den tempu di sklabitut!,Papiamento
inap yu kam wantaim mi?,Tok Pisin
Bu sabi ki óra autokaru ta txiga?,Cape Verdean Creole
Axe har de question.,Jamaican Creole
